Compound,AChE,BACE1,MAOB,DTI_avg,Docking_dG,Docking_rank,DTI_rank
3-p-Coumaroylquinic acid,2.960309,2.787371,2.84552,2.8644,-11.75,1.0,13.0
Isolariciresinol,6.306328,6.793308,6.877335,6.658990333333333,-10.59,2.0,1.0
4-Caffeoylquinic acid,3.124664,2.810033,2.981199,2.9719653333333333,-10.49,3.0,12.0
Rutin,4.170444,4.091515,4.138678,4.133545666666667,-9.72,4.0,11.0
Luteolin,5.127685,5.016693,5.028313,5.057563666666667,-9.0,5.0,8.0
Kaempferol,5.08821,5.022071,5.095951,5.068744,-8.73,6.0,7.0
Quercetin,5.527313,5.076735,5.308949,5.304332333333334,-8.57,7.0,6.0
Secoisolariciresinol,5.653994,5.756849,5.770525,5.727122666666666,-8.52,8.0,3.0
Apigenin,5.053577,5.002118,5.040868,5.032187666666666,-8.45,9.0,9.0
Myricetin,5.534751,5.084974,5.354489,5.324738,-8.31,10.0,5.0
Selegiline,6.375516,6.235886,6.334793,6.3153983333333334,-7.34,11.0,2.0
Medioresinol,4.564247,4.49457,4.612472,4.557096333333334,-6.87,12.0,10.0
O-Coumaric Acid,5.482897,5.349385,5.5416,5.457960666666668,-5.56,13.0,4.0
